Car_Type,Car_Year,Fuel_Type,Transmission,Price
Honda Civic 1.3,2011 -,Petrol -,Automatic,"KSh1,100,000"
Honda Insight Hybrid,2011 -,Petrol -,Automatic,"KSh1,120,000"
Honda Insight Hybrid,2011 -,Hybrid -,Automatic,"KSh1,125,000"
Subaru Impreza,2011 -,Petrol -,Automatic,"KSh1,125,000"
Volkswagen Golf Variant 1.4,2011 -,Petrol -,Automatic,"KSh1,130,000"
Honda Fit Automatic,2011 -,Hybrid -,Automatic,"KSh1,150,000"
Toyota Prius,2011 -,Hybrid -,Automatic,"KSh1,150,000"
Toyota Prius,2011 -,Hybrid -,Automatic,"KSh1,150,000"
Toyota ISIS,2010 -,Petrol -,Automatic,"KSh1,150,000"
Toyota Fielder,2010 -,Petrol -,Automatic,"KSh1,150,000"
Nissan juke 1.5 dCi,2010 -,Petrol -,Automatic,"KSh1,150,000"
Toyota ISIS,2011 -,Petrol -,Automatic,"KSh1,150,000"
Toyota Auris 1.4 VVT-i,2011 -,Petrol -,Automatic,"KSh1,150,000"
Toyota Rumion,2011 -,Petrol -,Automatic,"KSh1,150,000"
Nissan Teana,2011 -,Petrol -,Automatic,"KSh1,150,000"
Honda Stream 1.7 VTEC,2011 -,Petrol -,Automatic,"KSh1,150,000"
Mazda Axela,2012 -,Petrol -,Automatic,"KSh1,150,000"
Toyota ISIS,2010 -,Petrol -,Automatic,"KSh1,150,000"
Mazda Premacy,2011 -,Petrol -,Automatic,"KSh1,150,000"
Mazda Premacy,2011 -,Petrol -,Automatic,"KSh1,150,000"
Mazda Premacy,2011 -,Petrol -,Automatic,"KSh1,150,000"
Nissan Teana,2011 -,Petrol -,Automatic,"KSh1,150,000"
Subaru Impreza 2.0 Wagon,2011 -,Petrol -,Automatic,"KSh1,150,000"
Volkswagen Golf,2011 -,Petrol -,Automatic,"KSh1,150,000"
Nissan Bluebird,2011 -,Petrol -,Automatic,"KSh1,150,000"
Volkswagen Touran 1.4 TSI,2011 -,Petrol -,Automatic,"KSh1,150,000"
Honda CR-V 2.4 EX Automatic,2006 -,Petrol -,Automatic,"KSh1,180,000"
Toyota Crown,2008 -,Petrol -,Automatic,"KSh1,180,000"
Toyota Axio,2010 -,Petrol -,Automatic,"KSh1,180,000"
Subaru Impreza 2.0 Wagon,2011 -,Petrol -,Automatic,"KSh1,180,000"
Toyota Auris,2012 -,Petrol -,Automatic,"KSh1,180,000"
Toyota Axio,2010 -,Petrol -,Automatic,"KSh1,190,000"
Mercedes-Benz E200,2004 -,Petrol -,Automatic,"KSh1,190,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,190,000"
Toyota Fielder,2010 -,Petrol -,Automatic,"KSh1,199,000"
Subaru Impreza Anesis,2011 -,Petrol -,Automatic,"KSh1,199,000"
Toyota RAV4,2007 -,Petrol -,Automatic,"KSh1,199,000"
Mercedes-Benz B180,2011 -,Petrol -,Automatic,"KSh1,199,000"
Mercedes-Benz B180,2011 -,Petrol -,Automatic,"KSh1,199,000"
Toyota Aqua,2011 -,Hybrid -,Automatic,"KSh1,200,000"
Toyota Rush,2007 -,Petrol -,Automatic,"KSh1,200,000"
Nissan Teana,2009 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Estima,2010 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Estima,2010 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Fielder,2010 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Fielder,2010 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Axio,2011 -,Petrol -,Automatic,"KSh1,200,000"
Subaru Impreza 2.0 Wagon,2011 -,Petrol -,Automatic,"KSh1,200,000"
Nissan Bluebird,2011 -,Petrol -,Automatic,"KSh1,200,000"
Nissan Bluebird,2011 -,Petrol -,Automatic,"KSh1,200,000"
Nissan Vanette,2011 -,Petrol -,Automatic,"KSh1,200,000"
Nissan Vanette,2011 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Axio,2011 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Auris 1.6 Dual VVT-i,2011 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Axio,2011 -,Petrol -,Automatic,"KSh1,200,000"
Nissan Bluebird,2011 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Axio,2011 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Axio,2011 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Axio,2011 -,Petrol -,Automatic,"KSh1,200,000"
Subaru Impreza Anesis,2011 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,200,000"
Nissan Note,2012 -,Petrol -,Automatic,"KSh1,200,000"
Honda Stream,2018 -,Petrol -,Automatic,"KSh1,200,000"
Toyota Auris 1.6 Dual VVTi,2010 -,Petrol -,Manual,"KSh1,200,000"
Toyota Axio,2010 -,Petrol -,Automatic,"KSh1,200,000"
Daihatsu Terios Automatic,2010 -,Petrol -,Automatic,"KSh1,200,000"
Nissan Teana,2010 -,Petrol -,Automatic,"KSh1,200,000"
Volkswagen Golf 2.0 TSI,2010 -,Petrol -,Automatic,"KSh1,220,000"
Toyota Auris,2011 -,Petrol -,Automatic,"KSh1,220,000"
Toyota Auris,2011 -,Petrol -,Automatic,"KSh1,220,000"
Toyota Belta,2010 -,Petrol -,Automatic,"KSh1,225,000"
Lexus RX 300,2005 -,Petrol -,Automatic,"KSh1,230,000"
Subaru Impreza,2011 -,Petrol -,Automatic,"KSh1,230,000"
Subaru Impreza,2011 -,Petrol -,Automatic,"KSh1,230,000"
Toyota Prius Hybrid,2011 -,Petrol -,Automatic,"KSh1,230,000"
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,240,000"
Mitsubishi Galant,2010 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Axio,2010 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,250,000"
Mazda Axela,2011 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Axio,2011 -,Petrol -,Automatic,"KSh1,250,000"
Toyota ISIS,2011 -,Petrol -,Automatic,"KSh1,250,000"
Toyota ISIS,2011 -,Petrol -,Automatic,"KSh1,250,000"
Honda Stream,2011 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Axio,2011 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,250,000"
Subaru Impreza 2.0 Wagon,2011 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,250,000"
Volkswagen Golf,2011 -,Petrol -,Automatic,"KSh1,250,000"
Volkswagen Golf Variant,2011 -,Petrol -,Automatic,"KSh1,250,000"
Nissan Teana,2012 -,Petrol -,Automatic,"KSh1,250,000"
Chevrolet Cruze,2013 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,250,000"
Honda CR-V 2.0,2018 -,Petrol -,Automatic,"KSh1,250,000"
Nissan Vanette,2011 -,Petrol -,Manual,"KSh1,250,000"
Toyota Mark X,2010 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Allion A15,2010 -,Petrol -,Automatic,"KSh1,250,000"
Volkswagen Golf Variant 1.4,2011 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Auris,2011 -,Petrol -,Automatic,"KSh1,250,000"
Honda Stream,2011 -,Petrol -,Automatic,"KSh1,250,000"
Honda Stream,2011 -,Petrol -,Automatic,"KSh1,250,000"
Honda Stream,2011 -,Petrol -,Automatic,"KSh1,250,000"
Nissan Teana,2011 -,Petrol -,Automatic,"KSh1,250,000"
Volkswagen Golf Plus 1.4i,2011 -,Petrol -,Automatic,"KSh1,250,000"
Nissan Teana,2011 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Axio,2012 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Corolla 1.5 Automatic,2012 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Axio,2012 -,Petrol -,Automatic,"KSh1,250,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,260,000"
Mazda Atenza,2011 -,Petrol -,Automatic,"KSh1,260,000"
Toyota Allion 1.8,2010 -,Petrol -,Automatic,"KSh1,270,000"
Volkswagen Golf,2011 -,Petrol -,Automatic,"KSh1,270,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,270,000"
Toyota Axio,2010 -,Petrol -,Automatic,"KSh1,280,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,280,000"
Nissan juke,2011 -,Petrol -,Automatic,"KSh1,280,000"
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,280,000"
Toyota Wish,2019 -,Petrol -,Automatic,"KSh1,280,000"
Toyota Axio,2010 -,Petrol -,Manual,"KSh1,280,000"
Subaru Outback 2.5,2007 -,Petrol -,Automatic,"KSh1,280,000"
Nissan juke 1.5 dCi,2011 -,Petrol -,Automatic,"KSh1,280,000"
Honda Stream,2011 -,Petrol -,Automatic,"KSh1,280,000"
Honda Freed,2012 -,Petrol -,Automatic,"KSh1,280,000"
Toyota Axio,2012 -,Petrol -,Automatic,"KSh1,280,000"
Toyota Axio,2012 -,Petrol -,Automatic,"KSh1,290,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,299,000"
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,299,000"
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,299,000"
Nissan Navara 2.5,2009 -,Diesel -,Manual,"KSh1,300,000"
Toyota Prius 1.8 VVT-h,2011 -,Hybrid -,Automatic,"KSh1,300,000"
Toyota Prius 1.8 VVT-h,2011 -,Hybrid -,Automatic,"KSh1,300,000"
Mitsubishi Outlander 2.0 DI-D,2007 -,Petrol -,Automatic,"KSh1,300,000"
Mercedes-Benz C180,2008 -,Petrol -,Automatic,"KSh1,300,000"
Honda CR-V 2.4,2008 -,Petrol -,Automatic,"KSh1,300,000"
Mini Cooper,2010 -,Petrol -,Automatic,"KSh1,300,000"
Subaru Impreza,2011 -,Petrol -,Automatic,"KSh1,300,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,300,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,300,000"
Volkswagen Touran 1.4 TSI,2011 -,Petrol -,Automatic,"KSh1,300,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,300,000"
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,300,000"
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,300,000"
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,300,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,300,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,300,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,325,000"
Toyota Auris 1.3 3,2011 -,Petrol -,Automatic,"KSh1,330,000"
Volkswagen Touran 1.4 TSI,2011 -,Petrol -,Automatic,"KSh1,340,000"
Volkswagen Touran 1.4 TSI,2011 -,Petrol -,Automatic,"KSh1,340,000"
Nissan juke 1.5 dCi,2011 -,Petrol -,Automatic,"KSh1,340,000"
Toyota Hilux,2008 -,Diesel -,Manual,"KSh1,350,000"
Isuzu D-MAX,2009 -,Diesel -,Manual,"KSh1,350,000"
Toyota Land Cruiser Prado,2001 -,Petrol -,Automatic,"KSh1,350,000"
BMW X5 4.4 i,2004 -,Petrol -,Automatic,"KSh1,350,000"
BMW X5 4.4 i,2004 -,Petrol -,Automatic,"KSh1,350,000"
Nissan X-Trail 2.0,2009 -,Petrol -,Automatic,"KSh1,350,000"
Nissan juke,2010 -,Petrol -,Automatic,"KSh1,350,000"
Nissan Teana,2011 -,Petrol -,Automatic,"KSh1,350,000"
Toyota Axio,2011 -,Petrol -,Automatic,"KSh1,350,000"
Volkswagen Golf,2011 -,Petrol -,Automatic,"KSh1,350,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,350,000"
Nissan Teana,2011 -,Petrol -,Automatic,"KSh1,350,000"
Nissan Teana,2011 -,Petrol -,Automatic,"KSh1,350,000"
Mercedes-Benz A180,2011 -,Petrol -,Automatic,"KSh1,350,000"
Toyota Prius Hybrid,2011 -,Petrol -,Automatic,"KSh1,350,000"
Nissan juke,2011 -,Petrol -,Automatic,"KSh1,350,000"
Toyota Wish,2011 -,Petrol -,Automatic,"KSh1,350,000"
Toyota Fielder,2011 -,Petrol -,Automatic,"KSh1,350,000"
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,350,000"
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,350,000"
Toyota Fielder,2013 -,Petrol -,Automatic,"KSh1,350,000"
