Car_Type,Car_Year,Fuel_Type,Transmission,Price
Nissan Fuga,2011 -,Petrol -,Automatic,"KSh1,600,000"
Toyota Premio,2011 -,Petrol -,Automatic,"KSh1,600,000"
Toyota Rush,2012 -,Petrol -,Automatic,"KSh1,600,000"
Nissan Skyline,2011 -,Petrol -,Automatic,"KSh1,610,000"
Toyota Voxy,2011 -,Petrol -,Automatic,"KSh1,625,000"
Toyota Mark X,2012 -,Petrol -,Automatic,"KSh1,630,000"
Toyota Premio,2011 -,Petrol -,Automatic,"KSh1,630,000"
Nissan Fuga,2012 -,Petrol -,Automatic,"KSh1,630,000"
Toyota Hilux,2010 -,Diesel -,Automatic,"KSh1,650,000"
Mercedes-Benz E200,2009 -,Petrol -,Automatic,"KSh1,650,000"
Mercedes-Benz E200,2009 -,Petrol -,Automatic,"KSh1,650,000"
Nissan Dualis,2009 -,Petrol -,Automatic,"KSh1,650,000"
BMW X1,2010 -,Petrol -,Automatic,"KSh1,650,000"
Toyota Premio,2011 -,Petrol -,Automatic,"KSh1,650,000"
Toyota Mark X,2011 -,Petrol -,Automatic,"KSh1,650,000"
Toyota Premio,2012 -,Petrol -,Automatic,"KSh1,650,000"
Subaru Legacy,2011 -,Petrol -,Automatic,"KSh1,650,000"
Nissan Dualis,2011 -,Petrol -,Automatic,"KSh1,650,000"
Nissan Dualis,2011 -,Petrol -,Automatic,"KSh1,670,000"
Subaru Legacy 2.5 GT Wagon,2011 -,Petrol -,Automatic,"KSh1,675,000"
BMW 320i Exclusive E90,2011 -,Petrol -,Automatic,"KSh1,699,000"
Mercedes-Benz C200,2009 -,Petrol -,Automatic,"KSh1,700,000"
Mitsubishi RVR,2011 -,Petrol -,Automatic,"KSh1,700,000"
Ford Escape,2011 -,Petrol -,Automatic,"KSh1,700,000"
BMW 1 Series,2011 -,Petrol -,Automatic,"KSh1,700,000"
Toyota Rush,2011 -,Petrol -,Automatic,"KSh1,700,000"
Toyota Mark X,2012 -,Petrol -,Automatic,"KSh1,700,000"
Toyota Premio,2011 -,Petrol -,Automatic,"KSh1,700,000"
Toyota Premio,2011 -,Petrol -,Automatic,"KSh1,700,000"
Toyota Premio,2011 -,Petrol -,Automatic,"KSh1,720,000"
Toyota Premio,2011 -,Petrol -,Automatic,"KSh1,720,000"
Toyota Premio,2011 -,Petrol -,Automatic,"KSh1,720,000"
BMW 320i,2011 -,Petrol -,Automatic,"KSh1,720,000"
Nissan Dualis,2011 -,Petrol -,Automatic,"KSh1,725,000"
Mercedes-Benz C200 CGI,2011 -,Petrol -,Automatic,"KSh1,730,000"
Volvo S60 1.6 T4,2011 -,Petrol -,Automatic,"KSh1,740,000"
Volvo S60 1.6 T4,2011 -,Petrol -,Automatic,"KSh1,740,000"
Toyota Harrier,2007 -,Petrol -,Automatic,"KSh1,750,000"
Toyota Vanguard,2009 -,Petrol -,Automatic,"KSh1,750,000"
Mitsubishi RVR,2011 -,Petrol -,Automatic,"KSh1,750,000"
BMW 320i,2011 -,Petrol -,Automatic,"KSh1,750,000"
BMW 320i,2011 -,Petrol -,Automatic,"KSh1,750,000"
Toyota Mark X,2011 -,Petrol -,Automatic,"KSh1,750,000"
Ford Escape 3.0,2011 -,Petrol -,Automatic,"KSh1,750,000"
Mitsubishi RVR,2011 -,Petrol -,Automatic,"KSh1,750,000"
Subaru Legacy,2011 -,Petrol -,Automatic,"KSh1,750,000"
Toyota Premio,2013 -,Petrol -,Automatic,"KSh1,750,000"
Subaru Forester,2011 -,Petrol -,Manual,"KSh1,750,000"
Mitsubishi RVR,2011 -,Petrol -,Automatic,"KSh1,750,000"
Ford Escape XLT 2.3 4WD,2011 -,Petrol -,Automatic,"KSh1,750,000"
Mitsubishi RVR,2011 -,Petrol -,Automatic,"KSh1,750,000"
Mitsubishi RVR,2011 -,Petrol -,Automatic,"KSh1,750,000"
BMW 320i Automatic,2011 -,Petrol -,Automatic,"KSh1,750,000"
Ford Escape XLS 4WD Automatic,2011 -,Petrol -,Automatic,"KSh1,750,000"
Mercedes-Benz E220,2008 -,Diesel -,Automatic,"KSh1,760,000"
Toyota Premio,2012 -,Petrol -,Automatic,"KSh1,770,000"
Mitsubishi Outlander,2010 -,Petrol -,Automatic,"KSh1,780,000"
BMW 320i,2011 -,Petrol -,Automatic,"KSh1,785,000"
Mitsubishi RVR,2012 -,Petrol -,Automatic,"KSh1,799,000"
Toyota Hilux 3.0 D-4D Double Cab,2007 -,Diesel -,Automatic,"KSh1,800,000"
Volkswagen Touareg 2.5,2007 -,Petrol -,Automatic,"KSh1,800,000"
Peugeot 308,2010 -,Petrol -,Automatic,"KSh1,800,000"
Suzuki Escudo,2011 -,Petrol -,Automatic,"KSh1,800,000"
Toyota Crown 1500,2011 -,Petrol -,Automatic,"KSh1,800,000"
Toyota Premio,2011 -,Petrol -,Automatic,"KSh1,800,000"
Toyota Mark X,2011 -,Petrol -,Automatic,"KSh1,800,000"
Toyota Crown,2011 -,Petrol -,Automatic,"KSh1,800,000"
Toyota Rush,2012 -,Petrol -,Automatic,"KSh1,800,000"
Subaru Forester 2.0,2011 -,Petrol -,Automatic,"KSh1,800,000"
Ford Escape XLT 2.3 4WD,2011 -,Petrol -,Automatic,"KSh1,825,000"
Ford Escape XLT 2.3 4WD,2011 -,Petrol -,Automatic,"KSh1,825,000"
Toyota Land Cruiser Prado,2004 -,Petrol -,Automatic,"KSh1,850,000"
BMW X5 3.0,2004 -,Petrol -,Automatic,"KSh1,850,000"
Toyota Land Cruiser Prado,2005 -,Petrol -,Automatic,"KSh1,850,000"
Mitsubishi RVR,2011 -,Petrol -,Automatic,"KSh1,850,000"
Nissan X-Trail,2011 -,Petrol -,Automatic,"KSh1,850,000"
Toyota Mark X,2013 -,Petrol -,Automatic,"KSh1,850,000"
Mercedes-Benz E300,2006 -,Petrol -,Automatic,"KSh1,850,000"
Volkswagen Passat 1.4 TSI BlueMotion Estate,2011 -,Petrol -,Automatic,"KSh1,850,000"
Toyota Crown Royal 2.5,2011 -,Petrol -,Automatic,"KSh1,850,000"
Toyota Crown Royal 3.0,2011 -,Petrol -,Automatic,"KSh1,850,000"
Volkswagen Golf,2011 -,Petrol -,Automatic,"KSh1,850,000"
Ford Escape,2011 -,Petrol -,Automatic,"KSh1,860,000"
Toyota Harrier,2007 -,Petrol -,Automatic,"KSh1,875,000"
Mitsubishi RVR,2011 -,Petrol -,Automatic,"KSh1,880,000"
Mitsubishi ASX,2011 -,Petrol -,Automatic,"KSh1,880,000"
Ford Escape 3.0,2012 -,Petrol -,Automatic,"KSh1,890,000"
Isuzu D-MAX,2007 -,Diesel -,Manual,"KSh1,900,000"
Toyota Harrier,2010 -,Petrol -,Automatic,"KSh1,900,000"
Mitsubishi RVR,2011 -,Petrol -,Automatic,"KSh1,900,000"
Mitsubishi RVR,2011 -,Petrol -,Automatic,"KSh1,900,000"
Toyota RAV4,2011 -,Petrol -,Automatic,"KSh1,900,000"
Nissan X-Trail,2011 -,Petrol -,Automatic,"KSh1,900,000"
Mitsubishi Outlander,2011 -,Petrol -,Automatic,"KSh1,900,000"
Toyota Hilux,2011 -,Petrol -,Manual,"KSh1,900,000"
Honda CR-V,2011 -,Petrol -,Automatic,"KSh1,900,000"
Nissan X-Trail,2011 -,Petrol -,Automatic,"KSh1,920,000"
Volkswagen Tiguan 2.0 TSI,2010 -,Petrol -,Automatic,"KSh1,930,000"
Toyota Land Cruiser Prado,2005 -,Diesel -,Automatic,"KSh1,950,000"
Toyota Land Cruiser Prado,2005 -,Diesel -,Automatic,"KSh1,950,000"
Nissan X-Trail 2.2 dCi,2011 -,Diesel -,Automatic,"KSh1,950,000"
Toyota Land Cruiser Prado,2005 -,Petrol -,Automatic,"KSh1,950,000"
Toyota Land Cruiser Prado,2007 -,Petrol -,Automatic,"KSh1,950,000"
Honda CR-V 2.0,2010 -,Petrol -,Automatic,"KSh1,950,000"
Toyota RAV4 1.8,2010 -,Petrol -,Automatic,"KSh1,950,000"
Volkswagen Passat,2011 -,Petrol -,Automatic,"KSh1,950,000"
Toyota Crown Royal 2.5,2011 -,Petrol -,Automatic,"KSh1,950,000"
Volkswagen Tiguan,2011 -,Petrol -,Automatic,"KSh1,950,000"
Suzuki Escudo,2011 -,Petrol -,Automatic,"KSh1,950,000"
Mitsubishi Outlander,2011 -,Petrol -,Automatic,"KSh1,950,000"
Mitsubishi Outlander 2.0 DI-D,2011 -,Petrol -,Automatic,"KSh1,950,000"
Mitsubishi Outlander 2.0 DI-D,2011 -,Petrol -,Automatic,"KSh1,950,000"
Honda CR-V 2.0 4WD Automatic,2010 -,Petrol -,Automatic,"KSh1,950,000"
Honda CR-V 2.4,2010 -,Petrol -,Automatic,"KSh1,950,000"
Mitsubishi RVR 2.0,2011 -,Petrol -,Automatic,"KSh1,950,000"
Suzuki Escudo,2011 -,Petrol -,Automatic,"KSh1,950,000"
Volkswagen CC 2.0 TSI,2011 -,Petrol -,Automatic,"KSh1,950,000"
Suzuki Escudo,2011 -,Petrol -,Automatic,"KSh1,950,000"
Honda CR-V,2009 -,Petrol -,Automatic,"KSh1,975,000"
Subaru Forester 2.0,2011 -,Petrol -,Automatic,"KSh1,980,000"
Ford Escape 3.0,2011 -,Petrol -,Automatic,"KSh1,980,000"
Mitsubishi Outlander 2.4,2011 -,Petrol -,Automatic,"KSh1,980,000"
Lexus LX 570,2012 -,Petrol -,Automatic,"KSh10,500,000"
Mercedes-Benz S Class,2014 -,Petrol -,Automatic,"KSh10,990,000"
Mercedes-Benz S Class,2015 -,Hybrid -,Automatic,"KSh11,500,000"
Toyota Land Cruiser,2016 -,Petrol -,Automatic,"KSh12,500,000"
Jeep Wrangler 3.6 V6,2014 -,Petrol -,Automatic,"KSh13,500,000"
Land Rover Range Rover Vogue,2013 -,Diesel -,Automatic,"KSh14,000,000"
Toyota Land Cruiser,2017 -,Petrol -,Automatic,"KSh14,500,000"
Toyota Land Cruiser,2017 -,Petrol -,Automatic,"KSh14,500,000"
Toyota Land Cruiser,2015 -,Diesel -,Automatic,"KSh15,000,000"
Toyota Land Cruiser,2015 -,Diesel -,Automatic,"KSh15,000,000"
Toyota Land Cruiser,2015 -,Diesel -,Automatic,"KSh15,000,000"
Infiniti QX80,2017 -,Petrol -,Automatic,"KSh16,800,000"
Land Rover Range Rover Velar,2017 -,Petrol -,Automatic,"KSh16,800,000"
Lexus LX 570,2015 -,Petrol -,Automatic,"KSh17,500,000"
Lexus LX,2016 -,Diesel -,Automatic,"KSh18,000,000"
Toyota Land Cruiser,2018 -,Diesel -,Automatic,"KSh18,000,000"
Subaru Leone,1994 -,Petrol -,Manual,"KSh195,000"
Toyota Land Cruiser Prado,2004 -,Diesel -,Automatic,"KSh2,000,000"
Nissan X-Trail,2011 -,Diesel -,Automatic,"KSh2,000,000"
Isuzu D-MAX,2011 -,Diesel -,Automatic,"KSh2,000,000"
Toyota Hilux,2011 -,Diesel -,Manual,"KSh2,000,000"
Toyota Hilux,2011 -,Diesel -,Manual,"KSh2,000,000"
Toyota Land Cruiser Prado,2007 -,Petrol -,Automatic,"KSh2,000,000"
Honda CR-V 2.4,2010 -,Petrol -,Automatic,"KSh2,000,000"
BMW X1,2011 -,Petrol -,Automatic,"KSh2,000,000"
Mitsubishi Outlander,2011 -,Petrol -,Automatic,"KSh2,000,000"
Subaru Forester,2011 -,Petrol -,Automatic,"KSh2,000,000"
Mitsubishi RVR,2012 -,Petrol -,Automatic,"KSh2,000,000"
Toyota Crown DeLuxe 2300,2012 -,Petrol -,Automatic,"KSh2,000,000"
Mitsubishi Outlander 2.0 DI-D,2011 -,Petrol -,Automatic,"KSh2,000,000"
Audi A4 Avant 2.0 T FSI,2011 -,Petrol -,Automatic,"KSh2,000,000"
Audi A4 Avant 2.0 T FSI,2011 -,Petrol -,Automatic,"KSh2,000,000"
Toyota Hilux 2.5 D-4D,2011 -,Diesel -,Manual,"KSh2,050,000"
BMW X1,2011 -,Petrol -,Automatic,"KSh2,050,000"
Subaru Outback,2011 -,Petrol -,Automatic,"KSh2,050,000"
Volkswagen Touareg 2.5,2006 -,Petrol -,Automatic,"KSh2,050,000"
Subaru Forester 2.0 AWD,2011 -,Petrol -,Automatic,"KSh2,050,000"
Toyota Hilux 2.5 D-4D,2011 -,Diesel -,Automatic,"KSh2,080,000"
Volkswagen Passat 2.0 Sedan,2011 -,Petrol -,Automatic,"KSh2,090,000"
Toyota Hilux,2011 -,Diesel -,Manual,"KSh2,100,000"
Toyota Hilux,2011 -,Diesel -,Manual,"KSh2,100,000"
Audi A5,2009 -,Petrol -,Automatic,"KSh2,100,000"
Suzuki Escudo,2010 -,Petrol -,Automatic,"KSh2,100,000"
Honda CR-V,2011 -,Petrol -,Automatic,"KSh2,100,000"
Toyota Crown Automatic,2011 -,Petrol -,Automatic,"KSh2,100,000"
Honda CR-V,2010 -,Petrol -,Automatic,"KSh2,100,000"
Toyota Crown,2010 -,Petrol -,Automatic,"KSh2,100,000"
BMW X3 2.5 i,2008 -,Petrol -,Automatic,"KSh2,100,000"
Subaru Forester 2.0 S,2011 -,Petrol -,Automatic,"KSh2,100,000"
Subaru Forester 2.0,2011 -,Petrol -,Automatic,"KSh2,150,000"
Subaru Forester,2011 -,Petrol -,Automatic,"KSh2,150,000"
Subaru Outback,2011 -,Petrol -,Automatic,"KSh2,150,000"
Subaru Forester 2.0,2011 -,Petrol -,Automatic,"KSh2,150,000"
Subaru Forester,2011 -,Petrol -,Automatic,"KSh2,150,000"
Subaru Forester,2011 -,Petrol -,Automatic,"KSh2,150,000"
Subaru Forester 2.0 XT Turbo,2011 -,Petrol -,Automatic,"KSh2,150,000"
Subaru Forester,2011 -,Petrol -,Automatic,"KSh2,150,000"
Subaru Forester,2011 -,Petrol -,Automatic,"KSh2,150,000"
Mitsubishi Outlander 2.4,2011 -,Petrol -,Automatic,"KSh2,150,000"
Subaru Forester 2.0 AWD,2012 -,Petrol -,Automatic,"KSh2,150,000"
Subaru Forester 2.0 AWD,2012 -,Petrol -,Automatic,"KSh2,150,000"
Audi A4 Avant 1.8 T Quattro,2011 -,Petrol -,Automatic,"KSh2,180,000"
Toyota Land Cruiser Prado,2004 -,Diesel -,Automatic,"KSh2,200,000"
Toyota Hilux 2.5 D-4D,2011 -,Diesel -,Manual,"KSh2,200,000"
Volkswagen Tiguan 2.0 TSI,2008 -,Petrol -,Automatic,"KSh2,200,000"
Mitsubishi Outlander,2011 -,Petrol -,Automatic,"KSh2,200,000"
Mercedes-Benz C200,2011 -,Petrol -,Automatic,"KSh2,200,000"
Mercedes-Benz C200 CDI Sports Coupe,2011 -,Petrol -,Automatic,"KSh2,200,000"
Volkswagen Tiguan 1.4 TSI,2011 -,Petrol -,Automatic,"KSh2,200,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,200,000"
Subaru Outback,2011 -,Petrol -,Automatic,"KSh2,200,000"
Mazda CX-5,2012 -,Petrol -,Automatic,"KSh2,200,000"
Mazda CX-5,2012 -,Petrol -,Automatic,"KSh2,200,000"
Subaru Forester 2.0 X Comfort,2011 -,Petrol -,Automatic,"KSh2,200,000"
Subaru Forester,2011 -,Petrol -,Automatic,"KSh2,200,000"
Subaru Forester 2.0 X Comfort,2011 -,Petrol -,Automatic,"KSh2,200,000"
Subaru Forester 2.0 X Comfort,2011 -,Petrol -,Automatic,"KSh2,200,000"
Subaru Forester,2011 -,Petrol -,Automatic,"KSh2,200,000"
Subaru Forester 2.0,2011 -,Petrol -,Automatic,"KSh2,200,000"
Toyota RAV4,2011 -,Petrol -,Automatic,"KSh2,200,000"
Mitsubishi Outlander,2011 -,Petrol -,Automatic,"KSh2,200,000"
Toyota Hilux 2.5 D-4D,2010 -,Diesel -,Automatic,"KSh2,250,000"
Toyota Hilux 2.5 D-4D Double Cab,2010 -,Diesel -,Automatic,"KSh2,250,000"
Toyota Hilux 2.5 D-4D Double Cab,2010 -,Diesel -,Automatic,"KSh2,250,000"
Toyota Land Cruiser,2004 -,Petrol -,Automatic,"KSh2,250,000"
Audi A4 1.8 Automat,2010 -,Petrol -,Automatic,"KSh2,250,000"
Toyota Vellfire,2011 -,Petrol -,Automatic,"KSh2,250,000"
Subaru Forester 2.0,2011 -,Petrol -,Automatic,"KSh2,250,000"
Toyota RAV4 1.8,2012 -,Petrol -,Automatic,"KSh2,250,000"
Honda CR-V,2011 -,Petrol -,Automatic,"KSh2,250,000"
Toyota RAV4 2.2 D-CAT,2011 -,Diesel -,Automatic,"KSh2,252,317"
Toyota RAV4 2.2 D-CAT,2011 -,Diesel -,Automatic,"KSh2,254,863"
Subaru Outback 2.5 i Limited,2011 -,Petrol -,Automatic,"KSh2,290,000"
Subaru Outback 2.5 i Limited,2011 -,Petrol -,Automatic,"KSh2,290,000"
Mercedes-Benz C200 CGI,2011 -,Petrol -,Automatic,"KSh2,299,000"
Toyota Hilux,2012 -,Diesel -,Automatic,"KSh2,300,000"
Subaru Forester,2010 -,Petrol -,Automatic,"KSh2,300,000"
Mercedes-Benz C200,2011 -,Petrol -,Automatic,"KSh2,300,000"
Mercedes-Benz C200,2011 -,Petrol -,Automatic,"KSh2,300,000"
Subaru Outback,2011 -,Petrol -,Automatic,"KSh2,300,000"
Subaru Outback,2011 -,Petrol -,Automatic,"KSh2,300,000"
Toyota RAV4,2011 -,Petrol -,Automatic,"KSh2,300,000"
BMW X1 2.0 DPF,2011 -,Petrol -,Automatic,"KSh2,300,000"
BMW X1 xDrive30i,2011 -,Petrol -,Automatic,"KSh2,300,000"
Toyota Land Cruiser,2002 -,Diesel -,Automatic,"KSh2,350,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,350,000"
Audi A4,2011 -,Petrol -,Automatic,"KSh2,350,000"
Audi A5,2011 -,Petrol -,Automatic,"KSh2,350,000"
Honda CR-V 2.0,2007 -,Petrol -,Automatic,"KSh2,350,000"
Volkswagen Tiguan 2.0 TSI,2011 -,Petrol -,Automatic,"KSh2,350,000"
BMW X1 sDrive28i,2011 -,Petrol -,Automatic,"KSh2,350,000"
Mercedes-Benz C200 CGI,2011 -,Petrol -,Automatic,"KSh2,399,000"
Mercedes-Benz C200 CGI,2011 -,Petrol -,Automatic,"KSh2,399,000"
Mercedes-Benz C200 CGI,2011 -,Petrol -,Automatic,"KSh2,399,000"
Subaru Outback 2.5 i Limited,2011 -,Petrol -,Automatic,"KSh2,399,000"
Toyota Hilux,2011 -,Diesel -,Manual,"KSh2,400,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,400,000"
Mercedes-Benz C200,2011 -,Petrol -,Automatic,"KSh2,400,000"
Mercedes-Benz C200 CDI Sports Coupe,2011 -,Petrol -,Automatic,"KSh2,400,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,400,000"
Mercedes-Benz C200 CDI Sports Coupe,2011 -,Petrol -,Automatic,"KSh2,400,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,400,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,400,000"
BMW 320i Automatic,2012 -,Petrol -,Automatic,"KSh2,400,000"
Subaru Outback 2.5i Premium,2011 -,Petrol -,Automatic,"KSh2,400,000"
Subaru Outback 2.5i Premium,2011 -,Petrol -,Automatic,"KSh2,400,000"
Toyota RAV4 2.0,2011 -,Petrol -,Automatic,"KSh2,400,000"
Mercedes-Benz C200 Kompressor,2011 -,Petrol -,Automatic,"KSh2,400,000"
Toyota RAV4,2012 -,Petrol -,Automatic,"KSh2,400,000"
Toyota Land Cruiser Prado,2007 -,Petrol -,Automatic,"KSh2,450,000"
Toyota Land Cruiser Prado,2007 -,Petrol -,Automatic,"KSh2,450,000"
Toyota Land Cruiser Prado,2007 -,Petrol -,Automatic,"KSh2,450,000"
Toyota Vanguard,2010 -,Petrol -,Automatic,"KSh2,450,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,450,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,450,000"
Subaru Forester,2011 -,Petrol -,Automatic,"KSh2,450,000"
Subaru Forester,2011 -,Petrol -,Automatic,"KSh2,450,000"
Toyota Vanguard,2012 -,Petrol -,Automatic,"KSh2,450,000"
Mercedes-Benz C200 CDI Sports Coupe,2011 -,Petrol -,Automatic,"KSh2,450,000"
Honda CR-V 2.4,2011 -,Petrol -,Automatic,"KSh2,450,000"
Mercedes-Benz C180,2012 -,Petrol -,Automatic,"KSh2,450,000"
Toyota Hilux 2.5 D-4D Double Cab 4x4 SRX,2010 -,Diesel -,Automatic,"KSh2,480,000"
Toyota Land Cruiser Prado,2006 -,Diesel -,Automatic,"KSh2,500,000"
Toyota Land Cruiser 100 VX 4.7 V8,2005 -,Petrol -,Automatic,"KSh2,500,000"
Toyota Land Cruiser Prado,2007 -,Petrol -,Automatic,"KSh2,500,000"
Audi A6,2010 -,Petrol -,Automatic,"KSh2,500,000"
Volkswagen Touareg,2011 -,Petrol -,Automatic,"KSh2,500,000"
Volkswagen Tiguan 2.0 SE 4Motion,2011 -,Petrol -,Automatic,"KSh2,500,000"
Honda CR-V,2011 -,Petrol -,Automatic,"KSh2,500,000"
Mercedes-Benz C200 Kompressor,2011 -,Petrol -,Automatic,"KSh2,500,000"
Toyota RAV4,2012 -,Petrol -,Automatic,"KSh2,500,000"
Mercedes-Benz C200,2011 -,Petrol -,Automatic,"KSh2,500,000"
Mercedes-Benz C200,2011 -,Petrol -,Automatic,"KSh2,500,000"
Mercedes-Benz C200 CDI Sports Coupe,2011 -,Petrol -,Automatic,"KSh2,500,000"
Audi Q7 3.6,2006 -,Diesel -,Automatic,"KSh2,550,000"
Toyota Harrier,2010 -,Petrol -,Automatic,"KSh2,550,000"
Mitsubishi Outlander,2011 -,Petrol -,Automatic,"KSh2,550,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,550,000"
Audi A4,2011 -,Petrol -,Automatic,"KSh2,550,000"
Volkswagen Tiguan 2.0 TSI,2012 -,Petrol -,Automatic,"KSh2,550,000"
Volkswagen Passat,2013 -,Petrol -,Automatic,"KSh2,550,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,550,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,550,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,550,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,550,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,550,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,550,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,550,000"
Mercedes-Benz C200 CDI Sports Coupe,2011 -,Petrol -,Automatic,"KSh2,550,000"
Toyota Vanguard,2012 -,Petrol -,Automatic,"KSh2,550,000"
Toyota Vanguard,2012 -,Petrol -,Automatic,"KSh2,550,000"
Toyota Hilux 2.5 D-4D Double Cab 4x4 SRX,2010 -,Diesel -,Automatic,"KSh2,580,000"
Toyota Hilux 2.5 D-4D Double Cab 4x4 SRX,2010 -,Diesel -,Automatic,"KSh2,580,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,580,000"
Lexus GS 450h,2010 -,Hybrid -,Automatic,"KSh2,600,000"
BMW X5 3.0,2007 -,Petrol -,Automatic,"KSh2,600,000"
Toyota Vanguard,2012 -,Petrol -,Automatic,"KSh2,600,000"
Volkswagen Tiguan 2.0 S 4Motion,2011 -,Petrol -,Automatic,"KSh2,600,000"
Volkswagen Tiguan 2.0 S 4Motion,2011 -,Petrol -,Automatic,"KSh2,600,000"
Volkswagen Tiguan,2012 -,Petrol -,Automatic,"KSh2,620,000"
Mitsubishi Outlander,2013 -,Petrol -,Automatic,"KSh2,620,000"
Mitsubishi Outlander,2013 -,Petrol -,Automatic,"KSh2,620,000"
Mitsubishi Outlander,2013 -,Petrol -,Automatic,"KSh2,620,000"
Toyota Land Cruiser Prado,2004 -,Diesel -,Automatic,"KSh2,650,000"
Toyota Land Cruiser Prado,2007 -,Diesel -,Automatic,"KSh2,650,000"
Toyota Harrier,2010 -,Petrol -,Automatic,"KSh2,650,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,650,000"
Mercedes-Benz C180,2011 -,Petrol -,Automatic,"KSh2,650,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,650,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,650,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,650,000"
Toyota Crown Royal 2.5,2013 -,Petrol -,Automatic,"KSh2,650,000"
Mercedes-Benz C200,2011 -,Petrol -,Automatic,"KSh2,650,000"
Toyota Harrier,2011 -,Petrol -,Automatic,"KSh2,650,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,650,000"
Toyota Vanguard,2011 -,Petrol -,Automatic,"KSh2,650,000"
Mercedes-Benz E250,2006 -,Diesel -,Automatic,"KSh2,700,000"
Isuzu Rodeo,2011 -,Diesel -,Manual,"KSh2,700,000"
Mitsubishi Canter,2011 -,Diesel -,Manual,"KSh2,700,000"
Nissan Pathfinder 2.5 dCi,2013 -,Diesel -,Automatic,"KSh2,700,000"
Mercedes-Benz E350,2009 -,Petrol -,Automatic,"KSh2,700,000"
Toyota Vanguard,2012 -,Petrol -,Automatic,"KSh2,700,000"
Toyota Vanguard,2012 -,Petrol -,Automatic,"KSh2,700,000"
Volkswagen Tiguan,2012 -,Petrol -,Automatic,"KSh2,700,000"
Volkswagen Tiguan 1.4 TSI,2013 -,Petrol -,Automatic,"KSh2,700,000"
Toyota Harrier,2011 -,Petrol -,Automatic,"KSh2,700,000"
Toyota Harrier,2011 -,Petrol -,Automatic,"KSh2,720,000"
Volkswagen Tiguan,2013 -,Petrol -,Automatic,"KSh2,750,000"
Toyota Harrier,2011 -,Petrol -,Automatic,"KSh2,750,000"
Toyota Harrier,2011 -,Petrol -,Automatic,"KSh2,750,000"
Toyota Harrier,2011 -,Petrol -,Automatic,"KSh2,750,000"
Toyota Harrier,2011 -,Petrol -,Automatic,"KSh2,780,000"
Toyota Harrier,2011 -,Petrol -,Automatic,"KSh2,780,000"
Toyota Harrier,2011 -,Petrol -,Automatic,"KSh2,780,000"
Toyota Harrier,2011 -,Petrol -,Automatic,"KSh2,780,000"
Toyota Harrier,2012 -,Petrol -,Automatic,"KSh2,780,000"
Toyota Harrier,2012 -,Petrol -,Automatic,"KSh2,780,000"
Toyota Harrier,2011 -,Petrol -,Automatic,"KSh2,790,000"
Toyota Land Cruiser,2002 -,Diesel -,Automatic,"KSh2,800,000"
Volkswagen Tiguan,2011 -,Diesel -,Automatic,"KSh2,800,000"
Toyota Land Cruiser Prado,2008 -,Petrol -,Automatic,"KSh2,800,000"
Toyota Land Cruiser Prado,2008 -,Petrol -,Automatic,"KSh2,800,000"
Toyota Land Cruiser Prado,2009 -,Petrol -,Automatic,"KSh2,800,000"
Toyota Harrier,2011 -,Petrol -,Automatic,"KSh2,800,000"
Toyota Crown Royal 2.5,2013 -,Petrol -,Automatic,"KSh2,800,000"
Subaru Forester,2013 -,Petrol -,Automatic,"KSh2,800,000"
Toyota Harrier,2012 -,Petrol -,Automatic,"KSh2,800,000"
Toyota Harrier,2012 -,Petrol -,Automatic,"KSh2,820,000"
Toyota RAV4 2.0,2012 -,Petrol -,Automatic,"KSh2,846,471"
Mercedes-Benz E350,2009 -,Diesel -,Automatic,"KSh2,850,000"
Toyota Land Cruiser 100 4.2 TD,2002 -,Diesel -,Automatic,"KSh2,850,000"
Toyota Hilux 3.0 D-4D Double Cab,2013 -,Diesel -,Automatic,"KSh2,850,000"
Toyota Hilux,2013 -,Diesel -,Automatic,"KSh2,850,000"
